09-16-2026 12:53:18 RAM 9585/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.687C/48.406C cpu@49.062C/49.906C soc2@48.218C/48.531C soc0@48.343C/48.593C cv1@47.75C/48.343C gpu@47.062C/48.312C tj@50.062C/50.375C soc1@50.062C/50.343C cv2@46.562C/46.906C VDD_IN 6022mW/6559mW/10778mW VDD_CPU_GPU_CV 1234mW/1521mW/3694mW VDD_SOC 1544mW/1610mW/2463mW
09-16-2026 12:53:19 RAM 9585/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.781C/48.406C cpu@49.187C/49.906C soc2@48.031C/48.531C soc0@48.468C/48.593C cv1@47.812C/48.343C gpu@47.062C/48.312C tj@50.093C/50.375C soc1@50.093C/50.343C cv2@46.75C/46.906C VDD_IN 6022mW/6542mW/10778mW VDD_CPU_GPU_CV 1234mW/1512mW/3694mW VDD_SOC 1544mW/1608mW/2463mW
09-16-2026 12:53:20 RAM 9585/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.812C/48.406C cpu@49.062C/49.906C soc2@48.218C/48.531C soc0@48.312C/48.593C cv1@47.781C/48.343C gpu@47.281C/48.312C tj@50.218C/50.375C soc1@50.218C/50.343C cv2@46.656C/46.906C VDD_IN 6022mW/6526mW/10778mW VDD_CPU_GPU_CV 1234mW/1503mW/3694mW VDD_SOC 1544mW/1606mW/2463mW
09-16-2026 12:53:22 RAM 9585/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.656C/48.406C cpu@49.156C/49.906C soc2@48.281C/48.531C soc0@48.375C/48.593C cv1@47.781C/48.343C gpu@47C/48.312C tj@50.156C/50.375C soc1@50.156C/50.343C cv2@46.625C/46.906C VDD_IN 6022mW/6511mW/10778mW VDD_CPU_GPU_CV 1234mW/1495mW/3694mW VDD_SOC 1544mW/1604mW/2463mW
09-16-2026 12:53:23 RAM 9585/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.781C/48.406C cpu@49.343C/49.906C soc2@48.156C/48.531C soc0@48.25C/48.593C cv1@47.687C/48.343C gpu@47.281C/48.312C tj@50.187C/50.375C soc1@50.187C/50.343C cv2@46.75C/46.906C VDD_IN 6022mW/6496mW/10778mW VDD_CPU_GPU_CV 1234mW/1487mW/3694mW VDD_SOC 1544mW/1602mW/2463mW
09-16-2026 12:53:24 RAM 9585/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.656C/48.406C cpu@49.062C/49.906C soc2@48.125C/48.531C soc0@48.312C/48.593C cv1@47.687C/48.343C gpu@46.968C/48.312C tj@49.968C/50.375C soc1@49.968C/50.343C cv2@46.625C/46.906C VDD_IN 6022mW/6483mW/10778mW VDD_CPU_GPU_CV 1234mW/1480mW/3694mW VDD_SOC 1544mW/1601mW/2463mW
09-16-2026 12:53:25 RAM 9585/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.656C/48.406C cpu@49.031C/49.906C soc2@48.125C/48.531C soc0@48.25C/48.593C cv1@47.75C/48.343C gpu@47.25C/48.312C tj@50.093C/50.375C soc1@50.125C/50.343C cv2@46.687C/46.906C VDD_IN 6022mW/6470mW/10778mW VDD_CPU_GPU_CV 1234mW/1473mW/3694mW VDD_SOC 1544mW/1599mW/2463mW
09-16-2026 12:53:26 RAM 9585/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.656C/48.406C cpu@49.031C/49.906C soc2@48.187C/48.531C soc0@48.375C/48.593C cv1@47.718C/48.343C gpu@47.281C/48.312C tj@50.031C/50.375C soc1@50.031C/50.343C cv2@46.593C/46.906C VDD_IN 6022mW/6458mW/10778mW VDD_CPU_GPU_CV 1234mW/1467mW/3694mW VDD_SOC 1544mW/1598mW/2463mW
09-16-2026 12:53:27 RAM 9585/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.781C/48.406C cpu@48.937C/49.906C soc2@48.187C/48.531C soc0@48.281C/48.593C cv1@47.718C/48.343C gpu@47.062C/48.312C tj@50.156C/50.375C soc1@50.187C/50.343C cv2@46.5C/46.906C VDD_IN 6177mW/6450mW/10778mW VDD_CPU_GPU_CV 1234mW/1461mW/3694mW VDD_SOC 1544mW/1596mW/2463mW
09-16-2026 12:53:28 RAM 9585/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.625C/48.406C cpu@49.062C/49.906C soc2@48.281C/48.531C soc0@48.312C/48.593C cv1@47.75C/48.343C gpu@47.281C/48.312C tj@50.062C/50.375C soc1@50.062C/50.343C cv2@46.593C/46.906C VDD_IN 6022mW/6439mW/10778mW VDD_CPU_GPU_CV 1234mW/1455mW/3694mW VDD_SOC 1544mW/1595mW/2463mW
